DATE;ACTIVITY TYPE;ACTIVITY NAME;DEBIT;DEBIT CURRENCY;CREDIT;CREDIT CURRENCY;CARD NUMBER;LOCALITY;RECIPIENT;SENDER;FEES/COMMISSION;BUY/SELL;QUANTITY;ASSET;PRICE PER UNIT
06/09/2025;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-94.50;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
09/09/2025;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-122.56;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
09/09/2025;CARD_TRANSACTION_OUT;"""CFF MOBILE""";-44.70;CHF;;;**** 1150;Genève;"""CFF MOBILE""";;0;;;;
10/09/2025;CARD_TRANSACTION_OUT;"""RESTAURANT LE LYRIQUE""";-61.74;CHF;;;**** 1150;Genève;"""RESTAURANT LE LYRIQUE""";;0;;;;
11/09/2025;CARD_TRANSACTION_OUT;"""MANOR FOOD""";-60.06;CHF;;;**** 1150;Genève;"""MANOR FOOD""";;0;;;;
11/09/2025;CARD_TRANSACTION_OUT;"""NETFLIX""";-18.79;CHF;;;**** 1150;Genève;"""NETFLIX""";;0;;;;
20/09/2025;CARD_TRANSACTION_OUT;"""PHARMACIE PRINCIPALE""";-34.34;CHF;;;**** 1150;Genève;"""PHARMACIE PRINCIPALE""";;0;;;;
21/09/2025;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-66.27;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
03/10/2025;CARD_TRANSACTION_OUT;"""TPG ABONNEMENT""";-68.81;CHF;;;**** 1150;Genève;"""TPG ABONNEMENT""";;0;;;;
04/10/2025;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-92.33;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
04/10/2025;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-80.66;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
07/10/2025;CARD_TRANSACTION_OUT;"""NETFLIX""";-18.77;CHF;;;**** 1150;Genève;"""NETFLIX""";;0;;;;
10/10/2025;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-120.32;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
12/10/2025;CARD_TRANSACTION_OUT;"""RESTAURANT LE LYRIQUE""";-62.92;CHF;;;**** 1150;Genève;"""RESTAURANT LE LYRIQUE""";;0;;;;
15/10/2025;CARD_TRANSACTION_OUT;"""PHARMACIE PRINCIPALE""";-38.57;CHF;;;**** 1150;Genève;"""PHARMACIE PRINCIPALE""";;0;;;;
16/10/2025;CARD_TRANSACTION_OUT;"""MANOR FOOD""";-48.71;CHF;;;**** 1150;Genève;"""MANOR FOOD""";;0;;;;
18/10/2025;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-68.71;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
03/11/2025;CARD_TRANSACTION_OUT;"""TPG ABONNEMENT""";-65.34;CHF;;;**** 1150;Genève;"""TPG ABONNEMENT""";;0;;;;
06/11/2025;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-93.23;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
08/11/2025;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-88.33;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
08/11/2025;CARD_TRANSACTION_OUT;"""CFF MOBILE""";-40.79;CHF;;;**** 1150;Genève;"""CFF MOBILE""";;0;;;;
09/11/2025;CARD_TRANSACTION_OUT;"""NETFLIX""";-19.83;CHF;;;**** 1150;Genève;"""NETFLIX""";;0;;;;
11/11/2025;CARD_TRANSACTION_OUT;"""RESTAURANT LE LYRIQUE""";-65.22;CHF;;;**** 1150;Genève;"""RESTAURANT LE LYRIQUE""";;0;;;;
11/11/2025;CARD_TRANSACTION_OUT;"""STARBUCKS GENEVE""";-11.63;CHF;;;**** 1150;Genève;"""STARBUCKS GENEVE""";;0;;;;
12/11/2025;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-122.81;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
14/11/2025;CARD_TRANSACTION_OUT;"""MANOR FOOD""";-58.97;CHF;;;**** 1150;Genève;"""MANOR FOOD""";;0;;;;
20/11/2025;CARD_TRANSACTION_OUT;"""PHARMACIE PRINCIPALE""";-32.33;CHF;;;**** 1150;Genève;"""PHARMACIE PRINCIPALE""";;0;;;;
23/11/2025;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-63.47;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
01/12/2025;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-90.77;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
01/12/2025;CARD_TRANSACTION_OUT;"""TPG ABONNEMENT""";-63.21;CHF;;;**** 1150;Genève;"""TPG ABONNEMENT""";;0;;;;
04/12/2025;CARD_TRANSACTION_OUT;"""STARBUCKS GENEVE""";-10.63;CHF;;;**** 1150;Genève;"""STARBUCKS GENEVE""";;0;;;;
06/12/2025;CARD_TRANSACTION_OUT;"""NETFLIX""";-17.97;CHF;;;**** 1150;Genève;"""NETFLIX""";;0;;;;
08/12/2025;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-70.71;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
09/12/2025;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-108.95;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
12/12/2025;CARD_TRANSACTION_OUT;"""MANOR FOOD""";-57.56;CHF;;;**** 1150;Genève;"""MANOR FOOD""";;0;;;;
15/12/2025;CARD_TRANSACTION_OUT;"""PHARMACIE PRINCIPALE""";-36.55;CHF;;;**** 1150;Genève;"""PHARMACIE PRINCIPALE""";;0;;;;
20/12/2025;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-78.24;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
02/01/2026;CARD_TRANSACTION_OUT;"""TPG ABONNEMENT""";-68.37;CHF;;;**** 1150;Genève;"""TPG ABONNEMENT""";;0;;;;
03/01/2026;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-103.25;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
07/01/2026;CARD_TRANSACTION_OUT;"""NETFLIX""";-20.00;CHF;;;**** 1150;Genève;"""NETFLIX""";;0;;;;
09/01/2026;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-81.06;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
10/01/2026;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-107.58;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
10/01/2026;CARD_TRANSACTION_OUT;"""RESTAURANT LE LYRIQUE""";-64.52;CHF;;;**** 1150;Genève;"""RESTAURANT LE LYRIQUE""";;0;;;;
15/01/2026;CARD_TRANSACTION_OUT;"""MANOR FOOD""";-55.91;CHF;;;**** 1150;Genève;"""MANOR FOOD""";;0;;;;
19/01/2026;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-64.81;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
01/02/2026;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-101.33;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
01/02/2026;CARD_TRANSACTION_OUT;"""TPG ABONNEMENT""";-74.84;CHF;;;**** 1150;Genève;"""TPG ABONNEMENT""";;0;;;;
07/02/2026;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-73.93;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
07/02/2026;CARD_TRANSACTION_OUT;"""NETFLIX""";-21.96;CHF;;;**** 1150;Genève;"""NETFLIX""";;0;;;;
11/02/2026;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-112.93;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
13/02/2026;CARD_TRANSACTION_OUT;"""MANOR FOOD""";-58.44;CHF;;;**** 1150;Genève;"""MANOR FOOD""";;0;;;;
13/02/2026;CARD_TRANSACTION_OUT;"""RESTAURANT LE LYRIQUE""";-60.84;CHF;;;**** 1150;Genève;"""RESTAURANT LE LYRIQUE""";;0;;;;
15/02/2026;CARD_TRANSACTION_OUT;"""PHARMACIE PRINCIPALE""";-38.77;CHF;;;**** 1150;Genève;"""PHARMACIE PRINCIPALE""";;0;;;;
24/02/2026;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-74.35;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
01/03/2026;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-98.66;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
01/03/2026;CARD_TRANSACTION_OUT;"""TPG ABONNEMENT""";-74.00;CHF;;;**** 1150;Genève;"""TPG ABONNEMENT""";;0;;;;
06/03/2026;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-80.35;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
10/03/2026;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-109.83;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
10/03/2026;CARD_TRANSACTION_OUT;"""NETFLIX""";-19.13;CHF;;;**** 1150;Genève;"""NETFLIX""";;0;;;;
11/03/2026;CARD_TRANSACTION_OUT;"""RESTAURANT LE LYRIQUE""";-59.21;CHF;;;**** 1150;Genève;"""RESTAURANT LE LYRIQUE""";;0;;;;
17/03/2026;CARD_TRANSACTION_OUT;"""MANOR FOOD""";-51.55;CHF;;;**** 1150;Genève;"""MANOR FOOD""";;0;;;;
17/03/2026;CARD_TRANSACTION_OUT;"""PHARMACIE PRINCIPALE""";-36.84;CHF;;;**** 1150;Genève;"""PHARMACIE PRINCIPALE""";;0;;;;
23/03/2026;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-78.35;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
01/04/2026;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-98.49;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
01/04/2026;CARD_TRANSACTION_OUT;"""TPG ABONNEMENT""";-68.46;CHF;;;**** 1150;Genève;"""TPG ABONNEMENT""";;0;;;;
05/04/2026;CARD_TRANSACTION_OUT;"""STARBUCKS GENEVE""";-11.88;CHF;;;**** 1150;Genève;"""STARBUCKS GENEVE""";;0;;;;
08/04/2026;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-87.23;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
08/04/2026;CARD_TRANSACTION_OUT;"""NETFLIX""";-21.84;CHF;;;**** 1150;Genève;"""NETFLIX""";;0;;;;
09/04/2026;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-102.77;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
12/04/2026;CARD_TRANSACTION_OUT;"""CFF MOBILE""";-49.23;CHF;;;**** 1150;Genève;"""CFF MOBILE""";;0;;;;
16/04/2026;CARD_TRANSACTION_OUT;"""RESTAURANT LE LYRIQUE""";-56.59;CHF;;;**** 1150;Genève;"""RESTAURANT LE LYRIQUE""";;0;;;;
17/04/2026;CARD_TRANSACTION_OUT;"""MANOR FOOD""";-56.04;CHF;;;**** 1150;Genève;"""MANOR FOOD""";;0;;;;
17/04/2026;CARD_TRANSACTION_OUT;"""PHARMACIE PRINCIPALE""";-36.48;CHF;;;**** 1150;Genève;"""PHARMACIE PRINCIPALE""";;0;;;;
20/04/2026;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-77.62;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
01/05/2026;CARD_TRANSACTION_OUT;"""TPG ABONNEMENT""";-71.33;CHF;;;**** 1150;Genève;"""TPG ABONNEMENT""";;0;;;;
02/05/2026;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-105.45;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
02/05/2026;CARD_TRANSACTION_OUT;"""STARBUCKS GENEVE""";-11.47;CHF;;;**** 1150;Genève;"""STARBUCKS GENEVE""";;0;;;;
07/05/2026;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-78.74;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
07/05/2026;CARD_TRANSACTION_OUT;"""NETFLIX""";-18.74;CHF;;;**** 1150;Genève;"""NETFLIX""";;0;;;;
10/05/2026;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-102.19;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
13/05/2026;CARD_TRANSACTION_OUT;"""MANOR FOOD""";-54.15;CHF;;;**** 1150;Genève;"""MANOR FOOD""";;0;;;;
14/05/2026;CARD_TRANSACTION_OUT;"""PHARMACIE PRINCIPALE""";-36.31;CHF;;;**** 1150;Genève;"""PHARMACIE PRINCIPALE""";;0;;;;
22/05/2026;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-61.75;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
02/06/2026;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-94.95;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
02/06/2026;CARD_TRANSACTION_OUT;"""TPG ABONNEMENT""";-62.00;CHF;;;**** 1150;Genève;"""TPG ABONNEMENT""";;0;;;;
05/06/2026;CARD_TRANSACTION_OUT;"""NETFLIX""";-18.46;CHF;;;**** 1150;Genève;"""NETFLIX""";;0;;;;
09/06/2026;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-72.11;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
10/06/2026;CARD_TRANSACTION_OUT;"""RESTAURANT LE LYRIQUE""";-64.53;CHF;;;**** 1150;Genève;"""RESTAURANT LE LYRIQUE""";;0;;;;
14/06/2026;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-100.45;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
15/06/2026;CARD_TRANSACTION_OUT;"""MANOR FOOD""";-59.26;CHF;;;**** 1150;Genève;"""MANOR FOOD""";;0;;;;
23/06/2026;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-72.92;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
